,xavier,imdb,sst2,laptop,restaurant,movie,tweet,mnli,qnli,snli,deontology,justice,qqp,mrpc
cifar,2.0086450576782227,1.5505889654159546,0.9130199551582336,1.987937092781067,1.9378435611724854,2.0028915405273438,1.1306281089782715,0.43350711464881897,0.4034564197063446,0.4158422648906708,1.231131672859192,1.509252667427063,0.3167124092578888,1.6727927923202515
caltech101,1.4223523139953613,1.3139708042144775,1.0825986862182617,1.4183560609817505,1.4084479808807373,1.4215400218963623,1.173312783241272,0.28923195600509644,0.671094536781311,0.29555052518844604,1.223076581954956,1.304971694946289,0.4776149094104767,1.348718285560608
dtd,1.5222328901290894,1.415614366531372,1.1844085454940796,1.5179387331008911,1.50826096534729,1.5211979150772095,1.2744168043136597,0.29336681962013245,0.7520143985748291,0.30279502272605896,1.3258345127105713,1.407600998878479,0.5389674305915833,1.4502792358398438
oxford_flowers102,1.6097265481948853,1.481985092163086,1.2120306491851807,1.60566246509552,1.591998815536499,1.6085493564605713,1.3162144422531128,0.29063156247138977,0.7382081747055054,0.29600295424461365,1.3740841150283813,1.4733703136444092,0.5186640024185181,1.523951768875122
oxford_iiit_pet,1.5461064577102661,1.3581563234329224,1.0047106742858887,1.5388742685317993,1.5197628736495972,1.5442335605621338,1.1386605501174927,0.25568658113479614,0.5039991140365601,0.24683736264705658,1.207318902015686,1.3434656858444214,0.32532936334609985,1.4166792631149292
sun397,1.5394059419631958,1.4059972763061523,1.1296311616897583,1.534407615661621,1.5212817192077637,1.5378752946853638,1.23694908618927,0.26817694306373596,0.6603493690490723,0.27136456966400146,1.2944800853729248,1.3956642150878906,0.45221301913261414,1.4485282897949219
svhn,2.690904378890991,1.6918108463287354,0.9189260005950928,2.6333117485046387,2.5004920959472656,2.675046920776367,1.1378549337387085,0.8630880117416382,0.7821959257125854,0.871972382068634,1.2257475852966309,1.6152291297912598,0.8083637952804565,1.8972123861312866
patch_camelyon,2.116657257080078,2.007279396057129,1.7650492191314697,2.111690044403076,2.1025328636169434,2.1153459548950195,1.8603103160858154,0.6033018827438354,1.2654963731765747,0.6310403347015381,1.9149999618530273,1.9976834058761597,1.0013110637664795,2.0409278869628906
resisc45,1.6274700164794922,1.412732481956482,1.0206387042999268,1.6204519271850586,1.5965536832809448,1.6251784563064575,1.1682629585266113,0.29987993836402893,0.5101674795150757,0.28887462615966797,1.2407153844833374,1.3964110612869263,0.34052401781082153,1.4793716669082642
eurosat,2.6425750255584717,1.8898955583572388,1.1206080913543701,2.607060432434082,2.5117883682250977,2.632507085800171,1.3614100217819214,0.778469979763031,0.7936291098594666,0.7829142212867737,1.4613869190216064,1.8284047842025757,0.7539988160133362,2.0662379264831543
diabetic_retinopathy,1.4987815618515015,1.198744773864746,0.7573027610778809,1.4866046905517578,1.454116940498352,1.4960509538650513,0.9168572425842285,0.46418601274490356,0.42557841539382935,0.45361632108688354,0.9865102767944336,1.1714472770690918,0.3658924698829651,1.2814772129058838
dmlab,1.9751518964767456,1.7962145805358887,1.440237283706665,1.9685389995574951,1.9515572786331177,1.9743729829788208,1.5757067203521729,0.45738255977630615,0.8844430446624756,0.4702565371990204,1.6451221704483032,1.7783273458480835,0.6613129377365112,1.849678874015808
kitti,1.4454960823059082,1.3480346202850342,1.1326433420181274,1.4430687427520752,1.4323116540908813,1.4445463418960571,1.2185192108154297,0.3190869390964508,0.7391379475593567,0.3271406590938568,1.2652602195739746,1.3422536849975586,0.5388315320014954,1.3808667659759521
smallnorb_azi,3.66217303276062,2.9138565063476562,2.093080997467041,3.620959520339966,3.537794589996338,3.6529524326324463,2.350114107131958,1.114479899406433,1.5589439868927002,1.1587498188018799,2.4644124507904053,2.836481809616089,1.4105257987976074,3.081360101699829
smallnorb_ele,3.66217303276062,2.9138565063476562,2.093080997467041,3.620959520339966,3.537794589996338,3.6529524326324463,2.350114107131958,1.114479899406433,1.5589439868927002,1.1587498188018799,2.4644124507904053,2.836481809616089,1.4105257987976074,3.081360101699829
dsprites_loc,3.9618594646453857,3.5232157707214355,2.869257926940918,3.9483988285064697,3.8943705558776855,3.9585440158843994,3.1028270721435547,1.3049973249435425,2.1954922676086426,1.3559341430664062,3.2174570560455322,3.4992477893829346,1.89693284034729,3.6521337032318115
dsprites_ori,3.9618594646453857,3.5232157707214355,2.869257926940918,3.9483988285064697,3.8943705558776855,3.9585440158843994,3.1028270721435547,1.3049973249435425,2.1954922676086426,1.3559341430664062,3.2174570560455322,3.4992477893829346,1.89693284034729,3.6521337032318115
clevr_dist,1.9850585460662842,1.383413314819336,0.8878503441810608,1.9544895887374878,1.8750990629196167,1.976728081703186,1.0394678115844727,0.7856864929199219,0.8658049702644348,0.7989307641983032,1.0996564626693726,1.338426947593689,0.841123640537262,1.517696499824524
clevr_count,1.9850585460662842,1.383413314819336,0.8878503441810608,1.9544895887374878,1.8750990629196167,1.976728081703186,1.0394678115844727,0.7856864929199219,0.8658049702644348,0.7989307641983032,1.0996564626693726,1.338426947593689,0.841123640537262,1.517696499824524